t (s),R (m),z (m),z lower limit (m),z upper limit (m),rho pol,rho pol lower limit,rho pol upper limit
3.2813898000000004,1.4716502062110302,-0.9116807727572136,-0.9507041448129625,-0.8735480933304828,0.9993070960044861,0.9948710203170776,1.0015902519226074
3.3022248000000003,1.4720073102421392,-0.9111022327283068,-0.9503696518059471,-0.8727447363711786,0.9992657899856567,0.9947571754455566,1.0015933513641357
3.3230598000000002,1.4715863052097984,-0.9112234970959695,-0.9508806284898184,-0.8724762795822332,0.999355673789978,0.9948709011077881,1.0016510486602783
3.3438948,1.4722482686194545,-0.9118509566783608,-0.9518729034738059,-0.8727964576408053,0.9995243549346924,0.9951039552688599,1.001774549484253
3.3647298,1.470558654361217,-0.9154090666134496,-0.9551243803868209,-0.8766188756089848,0.9994239211082458,0.995100736618042,1.0015251636505127
3.3855648,1.470035406823482,-0.918479566616613,-0.9580426913578776,-0.8798553018162456,0.9996968507766724,0.995635449886322,1.0015889406204224
3.4063998000000004,1.4683501168704638,-0.9190965688753836,-0.9593800215339963,-0.879710969784031,0.9997603893280029,0.9957734942436218,1.001586675643921
3.4272348000000004,1.4682989027510498,-0.9162586659298381,-0.957997561415354,-0.8754345405260046,0.9994964599609375,0.9950631260871887,1.0015047788619995
3.4480698000000003,1.4673625606023974,-0.9136047886136254,-0.9563197140411173,-0.8717533365725482,0.9992426037788391,0.9945371150970459,1.0013729333877563
3.4689048000000002,1.4680928293279232,-0.9104910392542678,-0.9538331042796794,-0.8680283397126639,0.9990912079811096,0.9941474795341492,1.0014216899871826
3.4897398,1.4647593439093205,-0.90822586258164,-0.9613038749109124,-0.8561404036574387,0.9986593723297119,0.9919891357421875,1.0012567043304443
3.5105748,1.4655612938341702,-0.9048489202191248,-0.9579339212632458,-0.8527488220308522,0.9985786080360413,0.9919536709785461,1.0013655424118042
3.5314098,1.4651897698969933,-0.9040587296514757,-0.9581484105350763,-0.8509439611267057,0.9984429478645325,0.9913813471794128,1.0013478994369507
3.5522448000000004,1.4647729884248977,-0.9046757291068729,-0.9596557613406931,-0.8506813200676556,0.9983692765235901,0.9912452101707458,1.0012774467468262
3.5730798000000004,1.4635557959573509,-0.907263758801034,-0.9638015636067754,-0.8517192991173751,0.9985755681991577,0.9915233850479126,1.0012246370315552
3.5939148000000003,1.4632063849971952,-0.9112636326588784,-0.9590881940151484,-0.8641973045335498,0.9988694787025452,0.9934192895889282,1.0011800527572632
3.6147498000000002,1.4625467331258688,-0.9135301236517044,-0.9610056542713207,-0.8667977449127854,0.9987522959709167,0.9932107925415039,1.0010004043579102
3.6355848,1.4623154226530493,-0.9131970478792805,-0.9601914892312484,-0.8669102936670335,0.9989305138587952,0.9939312934875488,1.0010391473770142
3.6564198,1.462191527278334,-0.9124850935928142,-0.9601680081418205,-0.8655100928116076,0.9988520741462708,0.9934797286987305,1.0010855197906494
3.6772548,1.4625047782058331,-0.9123665068448439,-0.9596222677494602,-0.8658244693718454,0.9986234903335571,0.993083655834198,1.000981330871582
3.6980898000000004,1.4621449698268663,-0.9152116883185695,-0.9609442504239446,-0.8701716242985903,0.9987820386886597,0.9937264919281006,1.000957727432251
3.7189248000000004,1.4619402653240812,-0.9160029949731159,-0.9615646316149383,-0.8711289550138366,0.9988066554069519,0.9937998652458191,1.0009498596191406
3.7397598000000003,1.462075890008251,-0.9165978766991595,-0.9618318303943959,-0.8720595955603856,0.9988875985145569,0.9940121173858643,1.0009872913360596
3.7605948000000002,1.4612328042569616,-0.9158504210299725,-0.9625421636947281,-0.8698321772638875,0.9987435340881348,0.9934824705123901,1.0008928775787354
3.7814298,1.4605838506201005,-0.9165144244462541,-0.9633566340185614,-0.8703189129566206,0.9988235831260681,0.9937480688095093,1.0009092092514038
3.8022648,1.46082616177753,-0.9161931782262673,-0.9634934790667575,-0.8695628116409365,0.9987710118293762,0.9935411810874939,1.0009139776229858
3.8230998,1.4605470243117968,-0.9172420893417598,-0.9639422241260279,-0.8711945156758683,0.9988835453987122,0.9937363266944885,1.000941514968872
3.8439348000000004,1.4604346272572506,-0.9175609301535169,-0.9637111027863161,-0.8720462102191694,0.9987675547599792,0.9936527609825134,1.0008437633514404
3.8647698000000004,1.4606399878593552,-0.9168985555985186,-0.963289617619593,-0.8711517979325107,0.9989559650421143,0.9940029978752136,1.0009915828704834
3.8856048000000003,1.460588289284893,-0.915028318829999,-0.9625554786742867,-0.8681417151149458,0.9986822605133057,0.993340015411377,1.0008790493011475
3.9064398000000002,1.4611656877503594,-0.9127334273099864,-0.9612780935592351,-0.8648564206699549,0.9985834956169128,0.9929432272911072,1.0009313821792603
3.9272748,1.4612293273999082,-0.9129704265742206,-0.9607262208639813,-0.865869136362541,0.9984716176986694,0.992761492729187,1.0008831024169922
3.9481098,1.4618645196313826,-0.9122055399922666,-0.9594196413393813,-0.8656597414134954,0.9984805583953857,0.9928377866744995,1.0009493827819824
3.9689448,1.4614041556295334,-0.9127594208220933,-0.9598667197673134,-0.866296901982141,0.9985535144805908,0.9930804371833801,1.00090754032135
3.9897798000000004,1.4609969051612177,-0.9139012884193782,-0.9611006222695014,-0.8673417164215051,0.9986281991004944,0.9931517243385315,1.0009043216705322
4.0106148,1.4604976793606923,-0.9153899452618055,-0.962135455003432,-0.8692643203865568,0.998729944229126,0.9934281706809998,1.0009043216705322
4.0314498,1.4599360438450055,-0.9158903127736512,-0.9627112304580231,-0.8696631006859975,0.9987735152244568,0.993606686592102,1.0009171962738037
4.052284800000001,1.4602792443957369,-0.9144183071647808,-0.9615333408396579,-0.8679026201387522,0.9985021948814392,0.9929896593093872,1.0008132457733154
4.073119800000001,1.4602013618370775,-0.9135906446663552,-0.9611386029098269,-0.8666341559152376,0.9984273910522461,0.992851972579956,1.0008339881896973
4.093954800000001,1.4603712536980882,-0.9121525265336865,-0.9601960450493376,-0.8647001303712775,0.998352587223053,0.9926923513412476,1.0008132457733154
4.1147898000000005,1.4607559577416698,-0.911479566855438,-0.9595297424643933,-0.8640351147933568,0.9982450604438782,0.9924630522727966,1.0007691383361816
4.1356248,1.4606800911297841,-0.9093155326339942,-0.9566202415727795,-0.8625586996799468,0.9980469346046448,0.9923475980758667,1.0007033348083496
4.1564598,1.4595969703283715,-0.90479090604167,-0.9575196666357674,-0.8525730503378666,0.9975085258483887,0.9904241561889648,1.0006505250930786
4.1772948,1.4578368345070163,-0.8984914102250124,-0.9480214513408762,-0.8492011032633621,0.9967396855354309,0.9895317554473877,1.000285029411316
4.1981298,1.4552440169857748,-0.8932703484187673,-0.9379377692254525,-0.8486068764710908,0.9961845874786377,0.9896700382232666,0.999769926071167
4.2189648,1.4522826648399356,-0.8929673983169749,-0.9348482254657783,-0.850955398575851,0.9961991310119629,0.9902620911598206,0.9995545148849487
4.2397998,1.4126895205742276,-0.8895057253440648,-0.9344160840071362,-0.8425288250771621,0.9970719218254089,0.9912103414535522,0.9998413920402527
4.2606348,1.412459382209229,-0.8896184634302412,-0.9344259789300887,-0.842743472410518,0.9971323013305664,0.9914402365684509,0.9998165369033813
4.2814698,1.4124007479566594,-0.8898036082174966,-0.9347198238700869,-0.8428065782855337,0.996957004070282,0.9908037781715393,0.9998623132705688
4.3023048,1.4120383584418374,-0.8909090950082043,-0.9358448525670634,-0.843871676186499,0.997208833694458,0.9915366172790527,0.9998673796653748
4.3231398,1.448844210718666,-0.8938195784031548,-0.9361557743775463,-0.851200445324995,0.9959360361099243,0.989838182926178,0.9993612766265869
4.343974800000001,1.4521783064578608,-0.8926328908745826,-0.936221736321397,-0.8488939966006451,0.9958387613296509,0.9894217252731323,0.9994421601295471
4.364809800000001,1.454648228525646,-0.8931361082573708,-0.9375181243566172,-0.8487267103456442,0.9959082007408142,0.9893399477005005,0.9995805025100708
4.385644800000001,1.4552464274656691,-0.894054210270778,-0.9385055961012487,-0.8496147511095655,0.9960734844207764,0.9896472692489624,0.9996511936187744
